sku,revenue
NR3566,85.6
NR1661,85.6
NR5286,85.11
NR3718-2,84.84
NR3602,84.63
NR2412,84.04
NR4187,83.74
KIT0134,83.6
NR0952,82.5
KIT0269,82.28999999999999
CP1484,81.55
KIT0367,81.39
NR1456-1,80.11
NR4075,79.67
NR5483,79.16
NR4159,77.65
KIT0506,77.41
NR5409,77.01
NR1811-2,76.91
NR4144,75.13
NR3459-1,74.58
NR4995,73.66
NR3965,73.66
NR3392,72.78
NR2751,72.64
CPP1299,72.64
NR3986,72.02
NR5356,69.94
NR4499,69.05
NR1126-1F,68.28
KIT0440,67.84
NR3946,67.8
NR0058,67.75
NR3576,67.71000000000001
NR1555,67.26
NR3661,65.88
NR3402,65.76
NR3631,65.66
NR3504-2,64.15
NR4473,63.78
NR3362,63.63
KIT0416,63.47
NR3302,63.34
NR1749-2,63.26
CP0313,63.26
NR4481,62.64
NR4044,62.47
NR2383,62.47
NR5018,62.37
NR3212-2,61.48
NR4461,60.379999999999995
NR4001,60.32
NR4371-4,59.75
NR4518,59.7
NR0607,59.61
NR1392,59.47
KIT0184,58.120000000000005
NR3212-1,58.06
NR0676,57.24
NR4294,56.93
NR1138,56.84
NR3526,55.84
NR3629-2,55.83
NR4319-2,55.82
NR0931,55.59
NR0934,54.72
NR2587,54.21
KIT0263,53.11
KIT0369,52.84
NR4463,52.61
NR5314,52.52
NR4520-1,52.05
NR0607-1F,51.64
NR3805,51.3
NR4888,51.29
KIT0204,51.29
NR4726,50.64
NR5042,50.15
NR1679,49.76
NR2528,49.65
NR2756,49.02
NR4886-1,48.28
NR2895,48.25
NR0491,47.879999999999995
NR1267,47.51
NR1807,47.24
NR4458,45.83
NR0516,45.480000000000004
NR1293-2,45.38
NR4297,45.3
NR4303,45.28
NR4945,45.14
NR3065,45.08
KIT0433,43.69
NR5185,43.38
NR3846,42.79
NR2020,41.9
NR1293-1,41.76
NR3772,41.15
NR3718-1,41.15
NR1470,40.98
NR0142,39.97
NR4307,39.51
NR1431,39.32
NR3465,39.25
CP1435,38.61
NR0564,38.42
NR3809,38.19
NR2208,38.19
NR0463,37.7
NR3243-1,36.85
NR3949,36.56
NR4480,36.18
NR3545-2,35.9
KIT0082,35.78
LD50,35.68
NR5398,35.25
NR4454,34.86
NR3607,34.82
NR3842,34.64
NR2858,34.64
NR3864,34.54
NR4491,34.26
NR4482,34.02
NR3640,33.95
NR2715,33.79
NR4924,33.36
NR3923,33.22
NR2943,33.22
NR4004,33.17
NR3423,32.94
NR1126,32.36
KIT0027,32.29
NR5382,32.07
NR0281,31.990000000000002
NR2795,30.06
NR5433,29.94
NR3650,29.83
KIT0351,29.589999999999996
NR4510,29.189999999999998
NR1923,28.4
NR0916,27.8
CPP1191,27.29
KIT0405,27.14
NR0612,27.13
NR4401,27.03
NR1546,26.92
NR2787,26.68
NR5407,26.27
NR1082-2,26.26
NR5236,26.18
